table_name,column_name,data_type,is_nullable
ai_backtest_daily_returns,id,bigint,NO
ai_backtest_daily_returns,strategy_name,text,NO
ai_backtest_daily_returns,run_date_sgt,date,NO
ai_backtest_daily_returns,portfolio_return,numeric,YES
ai_backtest_daily_returns,cumulative_return,numeric,YES
ai_backtest_daily_returns,tickers,ARRAY,YES
ai_backtest_daily_returns,created_at,timestamp with time zone,YES
ai_backtest_summary,id,bigint,NO
ai_backtest_summary,strategy_name,text,NO
ai_backtest_summary,total_return,numeric,YES
ai_backtest_summary,annualized_return,numeric,YES
ai_backtest_summary,annualized_volatility,numeric,YES
ai_backtest_summary,sharpe_ratio,numeric,YES
ai_backtest_summary,max_drawdown,numeric,YES
ai_backtest_summary,win_rate,numeric,YES
ai_backtest_summary,start_date,date,YES
ai_backtest_summary,end_date,date,YES
ai_backtest_summary,created_at,timestamp with time zone,YES
ai_hype_backtest_results,id,bigint,NO
ai_hype_backtest_results,ticker,text,NO
ai_hype_backtest_results,run_date,date,NO
ai_hype_backtest_results,high_hype_count,numeric,YES
ai_hype_backtest_results,high_hype_avg_fwd_5d,numeric,YES
ai_hype_backtest_results,high_hype_avg_fwd_20d,numeric,YES
ai_hype_backtest_results,low_hype_count,numeric,YES
ai_hype_backtest_results,low_hype_avg_fwd_5d,numeric,YES
ai_hype_backtest_results,low_hype_avg_fwd_20d,numeric,YES
ai_hype_backtest_results,created_at,timestamp with time zone,YES
ai_hype_scores,id,bigint,NO
ai_hype_scores,ticker,text,NO
ai_hype_scores,company,text,YES
ai_hype_scores,run_date,date,NO
ai_hype_scores,article_count,numeric,YES
ai_hype_scores,avg_sentiment_score,numeric,YES
ai_hype_scores,volume,numeric,YES
ai_hype_scores,volume_z,numeric,YES
ai_hype_scores,news_volume_z,numeric,YES
ai_hype_scores,sentiment_z,numeric,YES
ai_hype_scores,trend_z,numeric,YES
ai_hype_scores,hype_score,numeric,YES
ai_hype_scores,hype_regime,text,YES
ai_hype_scores,headlines_json,jsonb,YES
ai_hype_scores,created_at,timestamp with time zone,YES
ai_hype_scores,positive_count,numeric,YES
ai_hype_scores,neutral_count,numeric,YES
ai_hype_scores,negative_count,numeric,YES
ai_hype_scores,hype_score_z,numeric,YES
ai_hype_scores,signal,text,YES
ai_hype_scores,signal_score,numeric,YES
ai_hype_scores,signal_reason,text,YES
ai_hype_trading_backtest,id,bigint,NO
ai_hype_trading_backtest,ticker,text,NO
ai_hype_trading_backtest,signal_date,date,NO
ai_hype_trading_backtest,signal,text,YES
ai_hype_trading_backtest,signal_score,numeric,YES
ai_hype_trading_backtest,close_price,numeric,YES
ai_hype_trading_backtest,fwd_1d_return,numeric,YES
ai_hype_trading_backtest,fwd_5d_return,numeric,YES
ai_hype_trading_backtest,fwd_10d_return,numeric,YES
ai_hype_trading_backtest,fwd_20d_return,numeric,YES
ai_hype_trading_backtest,created_at,timestamp with time zone,YES
ai_hype_trading_backtest,article_count,numeric,YES
ai_hype_trading_backtest,avg_sentiment_score,numeric,YES
ai_hype_trading_backtest,volume_z,numeric,YES
ai_hype_trading_backtest,hype_score,numeric,YES
ai_latest_quarterly_factors,asof_date,date,YES
ai_latest_quarterly_factors,ticker,text,YES
ai_latest_quarterly_factors,fiscal_date,date,YES
ai_latest_quarterly_factors,period,text,YES
ai_latest_quarterly_factors,ai_subsector,text,YES
ai_latest_quarterly_factors,revenue_ttm,numeric,YES
ai_latest_quarterly_factors,ebitda_ttm,numeric,YES
ai_latest_quarterly_factors,gross_profit_ttm,numeric,YES
ai_latest_quarterly_factors,operating_income_ttm,numeric,YES
ai_latest_quarterly_factors,net_income_ttm,numeric,YES
ai_latest_quarterly_factors,operating_cash_flow_ttm,numeric,YES
ai_latest_quarterly_factors,capex_ttm,numeric,YES
ai_latest_quarterly_factors,free_cash_flow_ttm,numeric,YES
ai_latest_quarterly_factors,revenue_growth_qoq,numeric,YES
ai_latest_quarterly_factors,revenue_growth_yoy,numeric,YES
ai_latest_quarterly_factors,ebitda_growth_yoy,numeric,YES
ai_latest_quarterly_factors,gross_margin,numeric,YES
ai_latest_quarterly_factors,gross_margin_ttm,numeric,YES
ai_latest_quarterly_factors,gross_margin_trend_4q,numeric,YES
ai_latest_quarterly_factors,ebitda_margin,numeric,YES
ai_latest_quarterly_factors,ebitda_margin_ttm,numeric,YES
ai_latest_quarterly_factors,ebitda_margin_trend_4q,numeric,YES
ai_latest_quarterly_factors,operating_leverage,numeric,YES
ai_latest_quarterly_factors,roic,numeric,YES
ai_latest_quarterly_factors,net_debt_to_ebitda,numeric,YES
ai_latest_quarterly_factors,debt_to_assets,numeric,YES
ai_latest_quarterly_factors,current_ratio,numeric,YES
ai_latest_quarterly_factors,cash_to_debt,numeric,YES
ai_latest_quarterly_factors,cash_flow_quality,numeric,YES
ai_latest_quarterly_factors,ev_to_ebitda_ttm,numeric,YES
ai_latest_quarterly_factors,fcf_yield_ttm,numeric,YES
ai_latest_quarterly_factors,sales_yield_ttm,numeric,YES
ai_latest_quarterly_factors,earnings_yield_ttm,numeric,YES
ai_latest_quarterly_factors,valuation_dispersion_subsector,numeric,YES
ai_latest_quarterly_factors,z_ev_ebitda_subsector,numeric,YES
ai_latest_quarterly_factors,z_fcf_yield_subsector,numeric,YES
ai_latest_quarterly_factors,z_revenue_growth_yoy_subsector,numeric,YES
ai_latest_quarterly_factors,z_ebitda_margin_trend_subsector,numeric,YES
ai_latest_quarterly_factors,z_roic_subsector,numeric,YES
ai_latest_quarterly_factors,z_cash_flow_quality_subsector,numeric,YES
ai_latest_quarterly_factors,z_balance_sheet_quality_subsector,numeric,YES
ai_latest_quarterly_factors,valuation_score_v2,numeric,YES
ai_latest_quarterly_factors,quality_growth_score,numeric,YES
ai_latest_quarterly_factors,balance_sheet_quality_score,numeric,YES
ai_latest_quarterly_factors,quarterly_factor_score,numeric,YES
ai_latest_quarterly_factors,source,text,YES
ai_latest_quarterly_factors,created_at,timestamp with time zone,YES
ai_latest_quarterly_factors,rn,bigint,YES
ai_portfolio_backtest_daily_v1,run_date_sgt,date,NO
ai_portfolio_backtest_daily_v1,portfolio_return,numeric,YES
ai_portfolio_backtest_daily_v1,equity_curve,numeric,YES
ai_portfolio_backtest_daily_v1,drawdown,numeric,YES
ai_portfolio_backtest_daily_v1,turnover,numeric,YES
ai_portfolio_backtest_daily_v1,cash_weight,numeric,YES
ai_portfolio_backtest_daily_v1,gross_exposure,numeric,YES
ai_portfolio_backtest_daily_v1,position_count,integer,YES
ai_portfolio_backtest_daily_v1,model_version,text,NO
ai_portfolio_backtest_daily_v1,created_at,timestamp with time zone,YES
ai_portfolio_backtest_metrics_v1,model_version,text,NO
ai_portfolio_backtest_metrics_v1,start_date,date,YES
ai_portfolio_backtest_metrics_v1,end_date,date,YES
ai_portfolio_backtest_metrics_v1,trading_days,integer,YES
ai_portfolio_backtest_metrics_v1,initial_equity,numeric,YES
ai_portfolio_backtest_metrics_v1,final_equity,numeric,YES
ai_portfolio_backtest_metrics_v1,total_return,numeric,YES
ai_portfolio_backtest_metrics_v1,cagr,numeric,YES
ai_portfolio_backtest_metrics_v1,annualized_volatility,numeric,YES
ai_portfolio_backtest_metrics_v1,sharpe_ratio,numeric,YES
ai_portfolio_backtest_metrics_v1,max_drawdown,numeric,YES
ai_portfolio_backtest_metrics_v1,win_rate,numeric,YES
ai_portfolio_backtest_metrics_v1,average_daily_return,numeric,YES
ai_portfolio_backtest_metrics_v1,average_turnover,numeric,YES
ai_portfolio_backtest_metrics_v1,average_cash_exposure,numeric,YES
ai_portfolio_backtest_metrics_v1,average_gross_exposure,numeric,YES
ai_portfolio_backtest_metrics_v1,average_position_count,numeric,YES
ai_portfolio_backtest_metrics_v1,rebalance_frequency,text,YES
ai_portfolio_backtest_metrics_v1,top_n,integer,YES
ai_portfolio_backtest_metrics_v1,execution_lag_days,integer,YES
ai_portfolio_backtest_metrics_v1,created_at,timestamp with time zone,YES
ai_portfolio_backtest_positions_v1,run_date_sgt,date,NO
ai_portfolio_backtest_positions_v1,ticker,text,NO
ai_portfolio_backtest_positions_v1,weight,numeric,YES
ai_portfolio_backtest_positions_v1,daily_return,numeric,YES
ai_portfolio_backtest_positions_v1,contribution,numeric,YES
ai_portfolio_backtest_positions_v1,is_rebalance_day,boolean,YES
ai_portfolio_backtest_positions_v1,action,text,YES
ai_portfolio_backtest_positions_v1,model_version,text,NO
